# GSVD Benchmark runtime breakdown
# Date: Mon Apr  6 17:51:20 2026
# Matrix dimensions: m=4472 n=936
# Runs per algorithm: 3
# OpenMP threads: 20
# K_file: sparse
# V_file: /home/mymel/matlab/QLCQRRT_benchmark/input_matrices/photogrammetry2/photogrammetry2.mtx
# d_factor: 2
# sketch_nnz: 4
# block_size: 256
# skip_apps: 1
# compute_cond: 0
# Times are in microseconds
# CQRRT_linop breakdown (11): alloc, sketch, qr, tri_inv, fwd, adj, trmm, chol, finalize, rest, total
# CholQR breakdown (6): alloc, fwd, adj, chol, rest, total
# sCholQR3 breakdown (18): alloc, fwd1, adj1, chol1, upd1, fwd2, adj2, gemm2, chol2, upd2, fwd3, adj3, gemm3, chol3, upd3, q_mat, rest, total
# sCholQR3_basic breakdown (15): alloc, fwd1, adj1, chol1, trsm1, fwd_q, syrk2, chol2, upd2, syrk3, chol3, upd3, q_mat, rest, total
m,n,run,algorithm,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17
4472,936,0,CQRRT_linop,9,3510,17005,10324,11722,5709,5696,1368,5005,91,60439,0,0,0,0,0,0,0
4472,936,1,CQRRT_linop,19,2427,15915,9184,8483,5341,5387,1434,5288,81,53559,0,0,0,0,0,0,0
4472,936,2,CQRRT_linop,7,2386,16053,7569,7746,4706,5339,1348,5212,64,50430,0,0,0,0,0,0,0
4472,936,0,CholQR,3543,8978,5090,1524,72,19207,0,0,0,0,0,0,0,0,0,0,0,0
4472,936,1,CholQR,3527,8072,5250,1356,69,18274,0,0,0,0,0,0,0,0,0,0,0,0
4472,936,2,CholQR,3485,8148,5210,1443,69,18355,0,0,0,0,0,0,0,0,0,0,0,0
4472,936,0,sCholQR3,11478,8995,5677,4259,4892,4808,5053,10650,4156,9216,4893,4664,7899,4229,5543,0,34,96446
4472,936,1,sCholQR3,9342,8465,4975,4571,5164,5625,5410,8745,3998,7937,4704,4518,7503,4044,3917,0,47,88965
4472,936,2,sCholQR3,11233,9814,5624,4261,5448,5280,5641,11016,5359,11249,5104,5503,10974,5011,5639,0,37,107193
4472,936,0,sCholQR3_basic,10106,17502,5437,5050,5266,5937,25141,4689,29401,24640,4325,4711,0,19,142224,0,0,0
4472,936,1,sCholQR3_basic,6485,5975,5007,4013,5450,5674,18718,3721,22413,21571,4220,5617,0,16,108880,0,0,0
4472,936,2,sCholQR3_basic,9449,6153,4963,4653,3928,5434,19088,4034,24112,18186,4968,5343,0,21,110332,0,0,0
4472,936,0,CQRRT_expl,5194,16121,0,17844,23297,0,1573,4732,9219,77980,0,0,0,0,0,0,0,0
4472,936,1,CQRRT_expl,5819,16993,0,18054,20565,0,1413,5900,1118,69862,0,0,0,0,0,0,0,0
4472,936,2,CQRRT_expl,5347,15663,0,17793,18413,0,1313,5521,1361,65411,0,0,0,0,0,0,0,0
