# GSVD Benchmark results
# Date: Mon Apr  6 17:51:20 2026
# Matrix dimensions: m=4472 n=936
# Runs per algorithm: 3
# OpenMP threads: 20
# K_file: sparse
# V_file: /home/mymel/matlab/QLCQRRT_benchmark/input_matrices/photogrammetry2/photogrammetry2.mtx
# d_factor: 2
# sketch_nnz: 4
# block_size: 256
# skip_apps: 1
# compute_cond: 0
m,n,run,algorithm,chol_time_us,qr_time_us,orth_error,r_backward_error,orth_error_upcast,app_a_time_us,ls_rel_error,app_b_time_us,app_c_time_us,right_svec_orth_error,total_a_time_us,total_b_time_us,total_c_time_us,peak_rss_kb,analytical_kb
4472,936,0,CQRRT_linop,0,60439,1.633126e-04,1.631408e-11,1.633126e-04,0,0.000000e+00,0,0,0.000000e+00,60439,60439,60439,29280,29484
4472,936,1,CQRRT_linop,0,53559,1.505008e-04,1.504184e-11,1.505008e-04,0,0.000000e+00,0,0,0.000000e+00,53559,53559,53559,29920,29484
4472,936,2,CQRRT_linop,0,50430,1.555565e-04,1.579275e-11,1.555565e-04,0,0.000000e+00,0,0,0.000000e+00,50430,50430,50430,29200,29484
4472,936,0,CholQR,0,19207,4.502853e-03,2.592328e-17,4.502853e-03,0,0.000000e+00,0,0,0.000000e+00,19207,19207,19207,15840,15788
4472,936,1,CholQR,0,18274,4.502853e-03,2.592328e-17,4.502853e-03,0,0.000000e+00,0,0,0.000000e+00,18274,18274,18274,15840,15788
4472,936,2,CholQR,0,18355,4.502853e-03,2.592328e-17,4.502853e-03,0,0.000000e+00,0,0,0.000000e+00,18355,18355,18355,15840,15788
4472,936,0,sCholQR3,0,96446,1.123175e-09,1.648503e-11,1.111139e-09,0,0.000000e+00,0,0,0.000000e+00,96446,96446,96446,51644,31349
4472,936,1,sCholQR3,0,88965,1.123175e-09,1.648503e-11,1.111139e-09,0,0.000000e+00,0,0,0.000000e+00,88965,88965,88965,51232,31349
4472,936,2,sCholQR3,0,107193,1.123175e-09,1.648503e-11,1.111139e-09,0,0.000000e+00,0,0,0.000000e+00,107193,107193,107193,52132,31349
4472,936,0,sCholQR3_basic,0,142224,9.071927e-10,7.943546e-17,8.978500e-10,0,0.000000e+00,0,0,0.000000e+00,142224,142224,142224,73576,53235
4472,936,1,sCholQR3_basic,0,108880,9.071927e-10,7.943546e-17,8.978500e-10,0,0.000000e+00,0,0,0.000000e+00,108880,108880,108880,31356,53235
4472,936,2,sCholQR3_basic,0,110332,9.071927e-10,7.943546e-17,8.978500e-10,0,0.000000e+00,0,0,0.000000e+00,110332,110332,110332,41412,53235
4472,936,0,CQRRT_expl,0,77980,1.033626e-09,6.082955e-17,1.024400e-09,0,0.000000e+00,0,0,0.000000e+00,77980,77980,77980,14400,32701
4472,936,1,CQRRT_expl,0,69862,1.011041e-09,5.877624e-17,9.980570e-10,0,0.000000e+00,0,0,0.000000e+00,69862,69862,69862,160,32701
4472,936,2,CQRRT_expl,0,65411,1.031097e-09,5.520822e-17,1.016140e-09,0,0.000000e+00,0,0,0.000000e+00,65411,65411,65411,0,32701
